# target_x=0
x,theta,motor,clamped
1.2016618,-0.14969477,-0.29599375,0
1.225991,-0.1577258,-0.315106,0
1.2492087,-0.1649852,-0.32881802,0
1.271243,-0.17141503,-0.33863512,0
1.2920426,-0.1769838,-0.3436612,0
1.3115714,-0.18167724,-0.3465293,0
1.3298115,-0.1855031,-0.3493939,0
1.3467532,-0.18847586,-0.34862164,0
1.3623867,-0.19060433,-0.34006324,0
1.3767158,-0.19191258,-0.33091092,0
1.3897744,-0.19246371,-0.32126328,0
1.4015987,-0.19231881,-0.31121182,0
1.4122263,-0.19153678,-0.3008415,0
1.4216963,-0.19017427,-0.29023132,0
1.4300488,-0.18828557,-0.27945393,0
1.4373248,-0.18592261,-0.26857632,0
1.4435655,-0.18313487,-0.25765952,0
1.4488127,-0.17996937,-0.24643251,0
1.453108,-0.1764707,-0.23493938,0
1.4564941,-0.17268284,-0.2237165,0
1.4590148,-0.16864926,-0.21278848,0
1.4607126,-0.1644101,-0.20217633,0
1.4616289,-0.16000234,-0.19189647,0
1.4618039,-0.1554599,-0.18480605,0
1.4612763,-0.15081382,-0.17356698,0
1.4600724,-0.14607595,-0.16043092,0
1.4582347,-0.14128153,-0.14874607,0
1.4558129,-0.13647628,-0.13682218,0
1.4528513,-0.13169728,-0.126157,0
1.449395,-0.12698305,-0.116881,0
1.445484,-0.12236503,-0.10880632,0
1.4411534,-0.11786714,-0.10176933,0
1.4364332,-0.113507,-0.09562763,0
1.4313495,-0.10929701,-0.090257615,0
1.4259253,-0.10524527,-0.085551776,0
1.42018,-0.101356395,-0.08141713,0
1.414131,-0.09763215,-0.07777274,0
1.4077934,-0.09407202,-0.0745489,0
1.4011801,-0.09067371,-0.07168532,0
1.394303,-0.0874335,-0.06912981,0
1.387172,-0.08434663,-0.066837385,0
1.3797963,-0.08140752,-0.06476928,0
1.3721839,-0.07861005,-0.06289229,0
1.3643421,-0.07594772,-0.061177734,0
1.3562773,-0.07341381,-0.05960113,0
1.3479956,-0.07100153,-0.058141183,0
1.3395025,-0.06870407,-0.05678002,0
1.3308027,-0.066514716,-0.055502214,0
1.3219011,-0.064426914,-0.054294538,0
1.312802,-0.062434305,-0.0531459,0
1.3035094,-0.060530756,-0.05204672,0
1.2940273,-0.058710396,-0.05110893,0
1.2843595,-0.056967627,-0.050350957,0
1.2745091,-0.055296432,-0.04955405,0
1.2644784,-0.053690236,-0.0487233,0
1.2542703,-0.05214314,-0.047863252,0
1.2438874,-0.050649863,-0.046978045,0
1.2333328,-0.04920566,-0.04607126,0
1.2226093,-0.047806278,-0.045145907,0
1.2117201,-0.046447895,-0.044204917,0
1.2006685,-0.045127086,-0.043250717,0
1.1894577,-0.043840777,-0.0422856,0
1.178091,-0.042586207,-0.04131157,0
1.166572,-0.0413609,-0.04033028,0
1.1549039,-0.040162627,-0.039343305,0
1.1430902,-0.03898939,-0.03835211,0
